instrument,ref_month,release_date,asof,effective_asof,frozen,call_bp,realized_bp,deviation_bp,bench_seasonal_naive_bp,bench_ar1_bp,bench_zero_bp,attribution
cpi_headline,2020-10-01,2020-11-12,2020-11-09,2020-11-08,True,11.4,4.15,7.25,-1.57,13.93,0.0,"{'SETB01': -109.4, 'SETA02': 181.0}"
cpi_core,2020-10-01,2020-11-12,2020-11-09,2020-11-08,True,24.85,10.18,14.66,22.41,11.09,0.0,"{'SETB01': -109.4, 'SETA02': 181.0}"
cpi_headline,2020-11-01,2020-12-10,2020-12-07,2020-12-06,True,-12.63,-6.11,-6.53,-24.63,4.15,0.0,"{'SETB01': -222.7, 'SETA02': -78.5}"
cpi_core,2020-11-01,2020-12-10,2020-12-07,2020-12-06,True,-4.78,5.38,-10.16,-0.28,10.18,0.0,"{'SETB01': -222.7, 'SETA02': -78.5}"
cpi_headline,2020-12-01,2021-01-13,2021-01-10,2021-01-09,True,13.28,9.41,3.86,-20.29,-6.11,0.0,"{'SETB01': 398.5, 'SETA02': 23.2}"
cpi_core,2020-12-01,2021-01-13,2021-01-10,2021-01-09,True,-2.84,-9.17,6.32,-7.58,5.38,0.0,"{'SETB01': 398.5, 'SETA02': 23.2}"
cpi_headline,2021-01-01,2021-02-08,2021-02-05,2021-02-04,True,59.56,42.54,17.02,25.86,9.41,0.0,"{'SETB01': 611.0, 'SETA02': 3.7}"
cpi_core,2021-01-01,2021-02-08,2021-02-05,2021-02-04,True,32.07,19.65,12.42,31.54,-9.17,0.0,"{'SETB01': 611.0, 'SETA02': 3.7}"
cpi_headline,2021-02-01,2021-03-10,2021-03-07,2021-03-06,True,54.29,54.74,-0.46,39.63,42.54,0.0,"{'SETB01': 689.4, 'SETA02': -29.5}"
cpi_core,2021-02-01,2021-03-10,2021-03-07,2021-03-06,True,32.0,34.88,-2.89,40.06,19.65,0.0,"{'SETB01': 689.4, 'SETA02': -29.5}"
cpi_headline,2021-03-01,2021-04-13,2021-04-10,2021-04-09,True,64.44,70.83,-6.39,32.31,54.74,0.0,"{'SETB01': 1193.8, 'SETA02': 60.9}"
cpi_core,2021-03-01,2021-04-13,2021-04-10,2021-04-09,True,20.99,37.57,-16.58,24.78,34.88,0.0,"{'SETB01': 1193.8, 'SETA02': 60.9}"
cpi_headline,2021-04-01,2021-05-12,2021-05-09,2021-05-08,True,28.63,82.19,-53.56,18.22,70.83,0.0,"{'SETB01': 164.3, 'SETA02': 188.2}"
cpi_core,2021-04-01,2021-05-12,2021-05-09,2021-05-08,True,21.91,82.99,-61.08,11.58,37.57,0.0,"{'SETB01': 164.3, 'SETA02': 188.2}"
cpi_headline,2021-05-01,2021-06-10,2021-06-07,2021-06-06,True,52.88,80.17,-27.29,26.97,82.19,0.0,"{'SETB01': 428.6, 'SETA02': 291.7}"
